interaction_id,data_chamada,cliente_id,canal,motivo,submotivo,duracao_segundos,satisfacao,agente,duracao_minutos,ano_mes,chamada_longa
1,2025-11-07 23:50:02.330166,46048,VOZ,FATURAMENTO,BOLETO,517,2,PAULO ROCHA,8.62,2025-11,False
2,2025-11-07 19:58:02.330166,81482,VOZ,FATURAMENTO,2ª VIA,1269,4,ANA SILVA,21.15,2025-11,True
3,2025-08-04 19:11:02.330166,40495,WHATSAPP,FATURAMENTO,BOLETO,1292,1,FERNANDA COSTA,21.53,2025-08,True
4,2025-10-22 07:20:02.330166,81426,CHAT,SUPORTE TECNICO,INSTABILIDADE,511,4,FERNANDA COSTA,8.52,2025-10,False
5,2025-11-11 03:13:02.330166,30926,WHATSAPP,CANCELAMENTO,DESISTENCIA,925,3,MARIA OLIVEIRA,15.42,2025-11,True
6,2025-12-17 06:04:02.330166,54118,VOZ,SUPORTE TECNICO,SEM SINAL,249,4,ANA SILVA,4.15,2025-12,False
7,2025-10-13 21:40:02.330166,44671,VOZ,CANCELAMENTO,VALOR ALTO,1554,4,FERNANDA COSTA,25.9,2025-10,True
8,2025-07-10 08:13:02.330166,82357,CHAT,FATURAMENTO,VALOR INDEVIDO,1758,5,MARIA OLIVEIRA,29.3,2025-07,True
9,2025-07-08 15:50:02.330166,16006,WHATSAPP,SUPORTE TECNICO,INSTABILIDADE,526,3,ANA SILVA,8.77,2025-07,False
10,2025-09-03 04:44:02.330166,46434,CHAT,SUPORTE TECNICO,SEM SINAL,1361,3,JOAO SANTOS,22.68,2025-09,True
11,2025-08-03 03:18:02.330166,97841,CHAT,CANCELAMENTO,VALOR ALTO,1497,1,FERNANDA COSTA,24.95,2025-08,True
12,2025-11-05 17:33:02.330166,42087,VOZ,SUPORTE TECNICO,INSTABILIDADE,1006,4,MARIA OLIVEIRA,16.77,2025-11,True
13,2025-08-24 00:45:02.330166,17331,VOZ,SUPORTE TECNICO,INSTABILIDADE,1743,1,MARIA OLIVEIRA,29.05,2025-08,True
14,2025-07-08 01:07:02.330166,37653,WHATSAPP,INFORMACOES,PROMOCAO,1530,3,JOAO SANTOS,25.5,2025-07,True
15,2025-12-04 01:11:02.330166,94259,CHAT,INFORMACOES,PROMOCAO,352,3,JOAO SANTOS,5.87,2025-12,False
16,2025-10-06 04:36:02.330166,80644,CHAT,SUPORTE TECNICO,INSTABILIDADE,1589,5,CARLOS LIMA,26.48,2025-10,True
17,2025-08-04 22:10:02.330166,28131,WHATSAPP,INFORMACOES,PROMOCAO,1070,1,ANA SILVA,17.83,2025-08,True
18,2025-10-18 05:18:02.330166,30969,WHATSAPP,FATURAMENTO,BOLETO,924,5,ANA SILVA,15.4,2025-10,True
19,2025-10-12 11:25:02.330166,71348,WHATSAPP,INFORMACOES,NA,574,5,ANA SILVA,9.57,2025-10,False
